name,acronym,description.label_fr,link,contact_type.label_fr,contact,dataset_type.label_fr,environment.label_fr,nature.label_fr,subthematic.label_fr,measurement_data,exposure_factor.label_fr,exposure_factor_category.label_fr,thematic_category.label_fr,has_restrictions,has_pricing,has_compliance,license_name.label_fr,license_type.label_fr,is_opendata,files_format.label_fr,other_acess_point,data_domain.label_fr,related_references,automatic_update,broadcast_mode.label_fr,downloadable,has_documentation,has_filter,has_missing_data,has_search_engine,temporal_scale.label_fr,update_frequency.label_fr,volume,year,year_start,year_end,is_geospatial_data,geographical_information_level,projection_system.label_fr,related_geographical_references,administrative_territory_coverage,geospatial_geographical_coverage
Cultures par canton,,Ensemble des exploitationsPetites exploitationsMoyennes et grandes exploitationsMoyennes exploitationsGrandes exploitations,,,"[""SSP ministère de l'Agriculture""]",,Sols," Indicateurs géographiques et socio-démographiques",Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,false,true,false,true,,Y10,,2000 et 2010,2000,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Principales cultures par tranche de superficie et par petites régions agricoles,,EnsembleMoins de 1 hectareDe 1 à moins de 5 hectaresDe 5 à moins de 10 hectaresDe 10 à moins de 20 hectaresDe 20 à moins de 30 hectaresDe 30 à moins de 50 hectaresDe 50 à moins de 70 hectares70 hectares ou plus,,,"[""SSP ministère de l'Agriculture""]",,,,Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,false,true,false,true,,Y10,,2000 et 2010,2000,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Cultures par commune,,Exploitations en ayantSuperficie correspondante (hectares),,,"[""SSP ministère de l'Agriculture""]",,,,Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,false,true,false,true,,Y10,,"1970, 1979, 1988, 2000, 2010",1970,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Cultures par parcs nationaux et parcs régionaux,,Exploitation en superficie correspondante (hectares),,,"[""SSP ministère de l'Agriculture""]",,,,Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,false,true,false,true,,Y10,,"2000, 2010",2000,2010,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Vignes,,Nombre d'exploitations en cultivantSuperficie de la culture (ares)Superficie agricole utilisée (SAU) (hectares)Produit brut standard (PBS) (milliers d'euros)Volume de travail (UTA),,,"[""SSP ministère de l'Agriculture""]",,,,Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,false,true,false,true,,Y10,,"2000, 2010",2000,2010,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Carte interactive - part de la superficie drainée dans la superficie agricole utilisée (SAU) en 2010,,"Il s'agit ici de la superficie drainée ou assainie par un réseau de drains enterrés. Ne sont pas prises en compte les superfcies dont les drains n'évacuent plus, ni celles qui ne sont drainées que ponctuellement (captage de mouillères), à l'aide d'un seul drain et non d'un réseau.",,,"[""SSP ministère de l'Agriculture""]",,,,Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Non renseigné,,,,,Environnement,,false,,,false,true,false,true,,Irrégulière,,2010,,,true,"[{""label_fr"":""FXX+GUF+GLP+REU+MTQ"",""label_en"":""FXX+GUF+GLP+REU+MTQ""}]",,,,FXX+GUF+GLP+REU+MTQ
Carte interactive - production brute standard (PBS) moyenne par exploitation en 2010,,"Les surfaces agricoles et les cheptels sont valorisés selon des coefficients permettant le calcul de la production brute standard (PBS). Ces coefficients résultent des valeurs moyennes calculées sur la période 2005 à 2009. La PBS décrit un potentielde production des exploitations et permet de les classer en « moyennes et grandes exploitations » quand elle est supérieure ou égale à 25 000 euros, en « grandes exploitations » quand elle est supérieure ou égale à 100 000 euros.",,,"[""SSP minitère de l'Agriculture""]",,,,Milieux agricoles,,,Pesticides/biocides/NDVI,,,false,true,Non renseigné,,,,,Environnement,,,,,true,true,false,true,,Irrégulière,,2010,,,true,"[{""label_fr"":""FXX+GUF+GLP+REU+MTQ"",""label_en"":""FXX+GUF+GLP+REU+MTQ""}]",,,,FXX+GUF+GLP+REU+MTQ
Biosurveillance des Retombées Atmosphériques Métalliques par les Mousses,BRAMM,"Le dispositif BRAMM permet de cartographier et de modéliser les concentrations en contaminants métalliques et azoté dans des mousses forestières sur l’ensemble du territoire métropolitain. Des campagnes quinquennales sont réalisées depuis 1996 (1996, 2000, 2006, 2011 et 2016) et portent sur environ 500 sites de collectes répartis sur l’ensemble du territoire. Ces sites sont localisés en milieu rural, loin des sources locales de pollution, et forestier, sous couvert arboré. Description générale du site ; Valeurs de concentrations en éléments (Al, As, Cd, Cr, Cu, Fe, Hg, N, Ni, Pb, Sb, V, Zn + autres éléments selon les campagnes )",,,"[""sleblond@mnhn.fr""]",,,,Qualité de l'air,,,Polluants de l'air,,,false,true,Licence SINP,,,,,Environnement,,false,,,true,true,false,true,,,,1996 - 2016,1996,2016,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
Cartes stratégiques de bruit - rapportage européen,,Cartographie national de bruit produite par le Cerema pour le rapportage européen,,,"[""Non trouvé""]",,,Agents Physiques,Bruit,,,Bruit,,,false,false,Non renseigné,,,,,Environnement,,,,,true,true,false,true,,Non renseigné,,1994,,,true,"[{""label_fr"":""EUROPE"",""label_en"":""EUROPE""}]",,,,EUROPE
ORANHE,,Cartographie de bruit et de la qualité de l'air calculé par Cerema,,,"[""http://www.orhane.fr/contact.php""]",,,,Qualité de l'air et Bruit,,,Bruit,,,false,false,Non renseigné,,,,,Environnement,,,,,false,false,false,false,,Non renseigné,,2017 à 2022,2017,2022,true,"[{""label_fr"":""ARA"",""label_en"":""ARA""}]",,,,ARA
plaMADE,,Données de traffic recueillies auprès des gestionnaires d'infrastructures autoroutières,,,"[""Steve Darry -Cerema""]",,,Agents physiques,Trafic routier,,,Bruit,,,false,false,Non renseigné,,,,,Environnement,,,,,false,false,false,false,,Non renseigné,,,,,true,"[{""label_fr"":""FXX"",""label_en"":""FXX""}]",,,,FXX
SISE-Eau,SISE-Eau,Prélèvements réalisés de janvier à décembre 2020,,,"[""""]",,,,Contaminants de l'eau,,,Polluants de l'eau,,,false,false,Licence Ouverte Etalab,,,,,Environnement,,,,,false,false,false,false,,,,2016 - 2021,2016,2021,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Campagne Nationale Exploratoire des Pesticides,CNEP,"Menée par l’ANSES, lancée en juin 2018 sur 12 mois. Mesure (protocole harmonisé) de 75 substances ; 1 300 analyses pour chacune de ces substances. 100 000 données collectées sur une année, 1 800 échantillons analysés et 75 substances mesurées sur 50 sites répartis sur le territoire national",,,"[""ANSES""]",,,Pesticides,Pesticides dans l'air,,,Polluants de l'air,,,false,false,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Non renseigné,,2018-2019,2018,2019,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Couches géographiques des secteurs,,Couches géographiques des secteurs appartenant à une même UDI par région et par année,,,"[""Atlasanté""]",,,Indicateurs géographiques et socio-démographiques,Qualité de l'eau,,,Polluants de l'eau,,,false,false,Non renseigné,,,,,Environnement,,false,,,false,true,false,true,,Annuelle,,2015-2020,2015,2020,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
