acronym,administrative_territory_coverage,automatic_update,broadcast_mode,contact,contact_type,data_domain,data_format,dataset_type,description,downloadable,environment,exposure_factor,exposure_factor_category,geographical_geospatial_coverage,geographical_information_level,has_compliance,has_documentation,has_filter,has_missing_data,has_pricing,has_restrictions,has_search_engine,is_geospatial_data,is_opendata,license_name,license_type,link,measurement_data,name,nature,organizations,other_access_points,projection_system,related_datasets,related_geographical_information,related_referential,state,subthematic,temporal_scale,theme_category,update_frequency,volume,year,year_end,year_start
,"[""France et DROM""]",false,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""esri shape""]",dataset,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""35 jours supérieurs à 50µg/m3"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FRA""]",Région,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-pm10-35j-sup-50ug-1?geometry=0.346%2C48.509%2C4.301%2C49.142,true,exp idf zag 2017 pm10 35j sup 50ug,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2017""]",,2017
,"[""France et DROM + Saint-Martin + Saint-Barthélémy""]",false,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""esri shape""]",dataset,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""40 µg/m³ en moyenne annuelle en PM10"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FRA+MAF+BLM""]",Région,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-pm10-moyenne-annuelle-40-1?geometry=0.346%2C48.509%2C4.301%2C49.142,true,exp idf zag 2017 pm10 moyenne annuelle 40,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Irrégulière,,"[""2017""]",,2017
Gazel'Air,"[""France et DROM + Saint-Martin + Saint-Barthélémy + Saint-Pierre-et-Miquelon""]",false,"[""Portail""]",dse-infosan2@santepubliquefrance.fr,"[""email""]",Environnement,"[""esri shape""]",dataset,"Concentration annuelle au PM2,5, PM10, NO2, O3, SO2, benzène, de 1989 à 2008",true,"[""Air""]","[""""]","[""pollution de l'air""]","[""FRA+MAF+BLM+SPM""]",Maillage 2km/2km,false,false,true,false,false,true,true,true,,Non renseigné,"[""""]",,true,Exposition à la pollution atmosphérique dans le projet Gazel'Air,,"[{""name_en"":""Sante publique France"",""name_fr"":""Sante publique France"",""id"":""618828fd32132fc0e1c3b672""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Annuelle,Environnement,Non renseigné,,"[""1989 - 2008""]",,1989
FILOCOM,"[""France métropolitaine""]",true,"[""Process""]",SDES,"[""email""]",Environnement,"[""html"",""pdf""]",dataset,"Le fichier contient à la fois des informations quantitatives et localisées décrivant des logements, mais aussi sur leurs occupants. La présence d'un identifiant logement unique et stable dans le temps permet de reconstituer les parcours des logements",false,"[""""]","[""""]","[""indicateurs socio-démographiques"",""polluants de l'air intérieur""]","[""FXX""]",Commune / IRIS,true,true,true,false,true,true,true,true,,Non renseigné,"[""""]",https://www.casd.eu/source/fichier-des-logements-par-communes/?tab=1,true,Fichier des logements à la commune,Indicateurs géographiques et socio-démographiques,"[{""name_en"":""CGDD / MTES"",""name_fr"":""CGDD / MTES"",""id"":""618828fe32132fc0e1c3b679""},{""name_en"":""SDES / MTES"",""name_fr"":""SDES / MTES"",""id"":""618828fd32132fc0e1c3b66a""},{""name_en"":""DGFIP"",""name_fr"":""DGFIP"",""id"":""618828fd32132fc0e1c3b66c""}]","[""""]","[""""]",[],false,,true,Locaux à usage d'habitation,N/A,Population et société,Tous les 2 ans,,"[""1995"",""1997"",""1999"",""2001"",""2003"",""2005"",""2007"",""2009"",""2010"",""2011"",""2013"",""2015 et 2017""]",,1995
,"[""""]",false,"[""""]",informatique@airparif.fr,"[""email""]",Environnement,"[""""]",dataset,Moyennes annuelles des concentrations de HAM-HAP et métaux par station,true,"[""Air""]","[""""]","[""polluants de l'air""]","[""""]",Station de mesure,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/ham-hap-metaux-2019-2020,true,HAM HAP METAUX 2019 2020,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Année,Environnement,Annuelle,8Ko,"[""2019 - 2020""]",2020,2019
,"[""""]",true,"[""""]",IRSN,"[""email""]",Environnement,"[""""]",dataset,Mesure en continu dans les eaux usées,true,"[""""]","[""""]","[""radioactivité""]","[""""]",Site de mesure / Commune,false,false,true,false,true,false,true,true,,Non renseigné,"[""""]",https://www.mesure-radioactivite.fr/#/ (RNM),true,Hydrotéléray,Agents Physiques,"[{""name_en"":""IRSN"",""name_fr"":""IRSN"",""id"":""618828fd32132fc0e1c3b666""}]","[""""]","[""""]",[],false,,true,Radioactivité,Mensuel,Environnement,Mensuelle,,"[""1991 - en cours""]",,1991
,"[""France métropolitaine""]",false,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""esri ascii grid""]",dataset,Indice ATMO,true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FXX""]",Zone,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/ind-idf-agglo-1,true,ind idf agglo,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Journalier,Environnement,Quotidienne,,"[""03/01/2021 - 16/02/2021""]",2021,2021
ICPE,"[""France métropolitaine et DROM""]",false,"[""Portail""]",BRGM,"[""email""]",Environnement,"[""csv"",""png""]",dataset,"Ce jeu de données correspond aux Installations classées pour la protection de l'environnement (ICPE) soumises à autorisation ou à enregistrement (en construction, en fonctionnement ou en cessation d'activité). La fréquence de mise à jour de ce jeu de données est quotidienne.",true,"[""Sols""]","[""hap, métaux, pop, gaz à effets de serre, poussières""]","[""polluants du sol"",""polluants de l'air""]","[""FRA""]",Installations (adresse et coordonnées x/y),false,true,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.georisques.gouv.fr/donnees/bases-de-donnees/installations-industrielles,true,Installations industrielles,,"[{""name_en"":""BRGM"",""name_fr"":""BRGM"",""id"":""618828fd32132fc0e1c3b65b""}]","[""""]","[""RGF93 Lambert 93"",""WGS84""]",[],false,Nomenclature des installations (disponible au format pdf sur le site AIDA),true,Pollution / Contamination des sols,N/A,Environnement,quotidienne,"56,8 Mo","[""""]",,
Donesol / IGCS,"[""France métropolitaine et DROM""]",false,"[""Portail"",""Process""]",infosol@orleans.inra.fr,"[""email""]",Environnement,"[""csv""]",dataset,"Le programme IGCS (Inventaire, Gestion et conservation des sols) vise à identifier, définir et localiser les principaux types de sols d'une région ou d'un territoire, et à caractériser leurs propriétés présentant un intérêt pour l'agriculture et pour l'environnement. Les informations produites sont stockées dans la base de données nationale DONESOL.",false,"[""Sols""]","[""""]","[""polluants des sols""]","[""FRA""]",Point de mesure et plage cartographique (coordonées x| y),true,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://dw3.gissol.fr/login,true,Inventaire de la nature des sols et de leur distribution spatiale,,"[{""name_en"":""INRAE"",""name_fr"":""INRAE"",""id"":""618828fd32132fc0e1c3b661""}]","[""https://data.inrae.fr/dataverse/igcs""]","[""WGS84"",""Lambert 93""]",[],true,,true,Inventaire et cartographie des sols ,Y| Y10,Environnement,,,"[""1992 - en cours""]",,1992
OBSINV,"[""France métropolitaine""]",false,"[""Portail""]",ANDRA,"[""email""]",Environnement,"[""pdf""]",dataset,"Description de la nature physique des déchets; Description des colis de déchets, volumes conditionnés (stocks et prévisions), activité des déchets (stocks et prévisions), toxiques chimiques",true,"[""""]","[""métaux (modèle d'exposition combiné)""]","[""radioactivité""]","[""FXX""]",Département / Commune /Code INSEE,false,false,true,false,true,false,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://inventaire.andra.fr/les-donnees/linventaire-national-en-open-data,true,Inventaire et situation des déchets,Agents Physiques,"[{""name_en"":""ANDRA"",""name_fr"":""ANDRA"",""id"":""618828fd32132fc0e1c3b657""}]","[""DataGouv""]","[""""]",[],false,Catégories et Familles de déchêts (publiées sur le site de l'Andra),true,Déchets radioactifs ,,Environnement,Annuelle,"1,5Mo","[""2013-2019""]",2019,2013
INS,"[""France métropolitaine""]",false,"[""Portail""]",INERIS,"[""email""]",Environnement,"[""netcdf""]",dataset,"Acidification, eutrophisation, effet de serre, ETM, POP, HAP, Poussières. Classés par catégorie. Au total 641 substances.",true,"[""Air""]","[""pm2,5"",""pm10"",""no2"",""o3""]","[""polluants de l'air""]","[""FXX""]",Région / Département / Commune / Maillage kilométrique,false,true,true,false,true,true,true,true,,Non renseigné,"[""""]",http://emissions-air.developpement-durable.gouv.fr/index.html,true,Inventaire National Spatialisé des émissions atmosphériques,,"[{""name_en"":""INERIS"",""name_fr"":""INERIS"",""id"":""618828fd32132fc0e1c3b654""}]","[""""]","[""""]",[],false,,true,"Emissions atmosphériques des secteurs de l'industrie, du transport, tertiaire et agricole ",H| D| M| Y,Environnement,Régulière,,"[""2004"",""2007"",""2012""]",2012,2004
ADMIN EXPRESS,"[""""]",true,"[""Process""]",sav.bd@ign.fr,"[""email""]",Référentiel,"[""non renseigné""]",dataset,"Limites administratives des collectivités territoriales, mises à jour en continu.Régions, départements, cantons, communes, arrondissements (pour Paris, Lyon et Marseille) et établissements publics de coopération intercommunale (EPCI).",true,"[""Sols""]","[""""]","[""indicateurs socio-démographiques""]","[""""]",Latitude/Longitude,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#admin-express,true,Limites administratives,,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""Géoportail"",""DataGouv""]","[""WGS84"",""UTM"",""Lambert 93""]",[],true,,true,Limites administratives,N/A,Régions et villes,Mensuelle,"50,3Mo","[""2017 - en cours""]",,2017
,"[""France métropolitaine""]",true,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""html"",""pdf""]",dataset,Mesures aux stations pour le polluant NO2. Les stations sont celles du minimum européen. Les données horaires des dernières 24h sont mises à jour quotidiennement à 14h (locale).,true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FXX""]",Département|  Commune|  Station de mesure,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-no2?geometry=1.395%2C48.650%2C3.373%2C48.967,true,mes idf horaire no2,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""DataGouv""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Heure,Environnement,Quotidienne,,"[""09/2017- en cours""]",,2017
,"[""France et DROM""]",true,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""csv"",""html""]",dataset,Mesures aux stations par polluant et par granulométrie temporelle.,true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FRA""]",Département|  Commune|  Station de mesure,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-nox?geometry=1.395%2C48.650%2C3.373%2C48.967,true,mes idf horaire nox,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""DataGouv""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Heure,Environnement,Quotidienne,,"[""09/2017- en cours""]",,
,"[""France et DROM""]",true,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""csv"",""html""]",dataset,Mesures aux stations par polluant et par granulométrie temporelle.,true,"[""Air""]","[""rayonnement gamma""]","[""polluants de l'air""]","[""FRA""]",Département|  Commune|  Station de mesure,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-o3?geometry=0.211%2C48.358%2C4.166%2C48.993,true,mes idf horaire o3,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""DataGouv""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Heure,Environnement,Quotidienne,,"[""09/2017- en cours""]",,
,"[""France métropolitaine et DROM-COM""]",true,"[""Portail""]",informatique@airparif.fr,"[""email""]",Environnement,"[""html"",""esri shape"",""csv""]",dataset,Mesures aux stations par polluant et par granulométrie temporelle.,true,"[""Air""]","[""radon""]","[""polluants de l'air""]","[""FRA+SPM+BLM+MAF+WLF+PYF+NCL""]",Département|  Commune|  Station de mesure,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-pm10?geometry=0.483%2C48.328%2C4.438%2C48.964,true,mes idf horaire pm10,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""DataGouv""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Heure,Environnement,Quotidienne,,"[""09/2017- en cours""]",,2017
,"[""France et DROM""]",true,"[""Process""]",informatique@airparif.fr,"[""email""]",Environnement,"[""csv""]",dataset,"Mesures aux stations pour le polluant PM2,5. Les stations sont celles du minimum européen. Les données horaires des dernières 24h sont mises à jour quotidiennement à 14h (locale).",true,"[""Air""]","[""""]","[""polluants de l'air""]","[""FRA""]",Département|  Commune|  Station de mesure,false,false,true,false,true,true,true,true,,ODbl,"[""Attribution""]",https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-pm25/data?geometry=0.261%2C48.353%2C4.216%2C48.988,true,mes idf horaire pm25,,"[{""name_en"":""Airparif"",""name_fr"":""Airparif"",""id"":""618828fd32132fc0e1c3b656""}]","[""DataGouv""]","[""""]",[],true,,true,Pollution atmosphérique ambiante,Heure,Environnement,Quotidienne,,"[""09/2017- en cours""]",,2017
,"[""France et DROM""]",false,"[""Process""]",Acoucité,"[""email""]",Environnement,"[""excel xlsx"",""html"",""esri ascii grid""]",dataset,,false,"[""""]","[""""]","[""bruit""]","[""FRA""]",Site de mesure,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://www.acoucite.org/Partenaires/METRO/reseau-de-mesure/API_METRO.php,true,Mesures de bruit dans l'agglomération de Grenoble,Agents Physiques,"[{""name_en"":""Acoucité"",""name_fr"":""Acoucité"",""id"":""618828fd32132fc0e1c3b64f""}]","[""https://www.grenoblealpesmetropole.fr/469-lutte-contre-le-bruit.htm""]","[""""]",[],true,,true,Exposition des population au bruit,,Environnement,Non renseigné,,"[""2012 - en cours""]",,2012
,"[""France et DROM""]",false,"[""Process""]",Acoucité,"[""email""]",Environnement,"[""grib2""]",dataset,"LDEN (Day,Evening and Night) : niveau sonore équivalent pondéré A calculé sur les trois périodes horaires,jour (6h-18h), soirée (18h-22h),nuit (22h-6h).LNight : niveau sonore équivalent pondéré A sur la période nocturne (22h-6h)",true,"[""""]","[""""]","[""bruit""]","[""FRA""]",Site de mesure,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.data.gouv.fr/fr/datasets/reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon/#_,true,Mesures de bruit dans l'agglomération de Lyon,Agents Physiques,"[{""name_en"":""Acoucité"",""name_fr"":""Acoucité"",""id"":""618828fd32132fc0e1c3b64f""}]","[""https://www.grandlyon.com/services/cartes-du-bruit.html""]","[""WGS84"",""RGF93"",""Lambert 93""]",[],true,,true,Mesures de bruit,,Environnement,Hebdomadaire,,"[""2006 - en cours""]",,2006
,"[""France et DROM""]",false,"[""Process""]",IRSN,"[""email""]",Environnement,"[""grib2"",""esri ascii grid""]",dataset,"Localisation des sites miniers, données disponibles sur les sites miniers (fiches de synthèse, fiches détaillées)",true,"[""Sols""]","[""""]","[""pollutions du sol""]","[""Monde""]",Site minier,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://mimausabdd.irsn.fr/,true,Mimausa,,"[{""name_en"":""IRSN"",""name_fr"":""IRSN"",""id"":""618828fd32132fc0e1c3b666""}]","[""""]","[""""]",[],true,,true,Anciens sites miniers français d'uranium ,N/A,Environnement,Régulière,,"[""2003 - en cours""]",,2003
,"[""France et DROM""]",true,"[""API""]",Virginie Schwartz,"[""email""]",Environnement,"[""grib2"",""png"",""tiff""]",dataset,"Résultats du modèle francais de prévision de composition chimique et de transports atmosphériques (MOCAGE Qualité de l'Air) sous forme de champs de prévisions en points de grille pour 120 espèces gazeuses (Ozone, CO, CO2, U.V. etc.) et 4 aérosols (carbonés, désertiques, anthropiques et marins). Paramètres, niveaux, échéances et domaines paramétrables selon diverses résolutions et échéances de 12 h à 108 h par pas de 1h, 3h ou 6h sur le monde (forçage par un modéle global), ou la France (forçage par un modéle à aire limité)",true,"[""Air""]","[""""]","[""polluants de la intérieur""]","[""Monde""]",Latitude/Longitude,true,true,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://donneespubliques.meteofrance.fr/?fond=produit&id_produit=200&id_rubrique=42,true,Modèle global de chimie atmosphérique et de transport,,"[{""name_en"":""Météo France"",""name_fr"":""Météo France"",""id"":""618828fd32132fc0e1c3b667""}]","[""""]","[""""]",[],true,,true,Prévision de la chimie atmosphérique et transport,H| H3,Environnement,Quotidienne,,"[""en cours""]",,
,"[""France et DROM-COM""]",true,"[""Process""]",INPN,"[""email""]",Environnement,"[""grib2"",""esri ascii grid""]",dataset,"Sites naturels européens, terrestres et marins, identifiés pour la rareté ou la fragilité des espèces sauvages, animales ou végétales, et de leurs habitats.",true,"[""""]","[""""]","[""ndvi""]","[""FXX+GLP+MTQ+GUF+REU+PYF+NCL""]",coordonnées x/y|  code INSEE,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://inpn.mnhn.fr/site/natura2000/stats,true,Natura 2000,Biodiversité,"[{""name_en"":""MTES"",""name_fr"":""MTES"",""id"":""618828fd32132fc0e1c3b668""}]","[""DataGouv"",""Geoportail""]","[""""]",[],false,,true,Recensement des sites naturels/ biodiversité ,N/A,Environnement,Régulière,"25,4 Mo","[""2007 - en cours""]",,2007
MERA,"[""France métropolitaine et DROM""]",true,"[""Portail""]",stephane.sauvage@mines-douai.fr,"[""email""]",Environnement,"[""csv"",""html"",""json""]",dataset,"Dépôts atmosphériques (composés inorganiques majeurs, métaux lourds, HAP), les composés gazeux (O3, NO2, Composés Organiques Volatils) et particulaires (gravimétrie des PM10 et PM2,5, métaux lourds et HAP dans les PM10, spéciation des PM2,5) et les paramètres météorologique",true,"[""Air""]","[""btex"",""cyanures"",""hydrocarbures"",""hydrocarbures chlorés"",""hap"",""métaux""]","[""polluants de l’air""]","[""FRA""]",Station de mesure,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",http://ebas.nilu.no/,true,Observatoire national de Mesure et d’Evaluation en zone Rurale de la pollution Atmosphérique à longue distance,,"[{""name_en"":""IMT Nord Europe"",""name_fr"":""IMT Nord Europe"",""id"":""618828fd32132fc0e1c3b665""}]","[""""]","[""""]",[],true,,true,Qualité de l’air : pollution atmosphérique ,Variable selon les données,Environnement,Annuelle,,"[""1990 - en cours""]",,1990
OCS GE,"[""France métropolitaine et DROM""]",true,"[""Portail""]",contact.geoservices@ign.fr,"[""email""]",Environnement,"[""excel xls"",""plain text""]",dataset,"Visualisation des zones de prairie, taux d’imperméabilité du sol, en France métropolitaine et dans les départements et régions d’outre-mer (DROM). Version de 2015 et de résolution 20 mètres.",true,"[""Sols""]","[""bactéries"",""métaux""]","[""polluants du sol"",""pesticides""]","[""FRA""]",coordonnées x/y,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#ocs-ge,true,Occupation du sol à grande échelle,,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""Géoportail""]","[""Lambert 93"",""UTM""]",[],true,,true,Occupation des sols,N/A,Environnement,Irrégulière,/,"[""""]",,
,"[""France métropolitaine et DROM""]",false,"[""Portail""]",http://www.orhane.fr/contact.php,"[""email""]",Environnement,"[""csv""]",dataset,Cartographie de bruit et de la qualité de l'air calculé par Cerema,true,"[""""]","[""phénols"",""organochlorés"",""organophosphorés"",""autres composés organiques"",""métauxndvi"",""...""]","[""bruit""]","[""FRA""]",,false,false,false,false,true,true,false,true,,Non renseigné,"[""""]",https://www.orhane.fr/,true,ORANHE,,"[{""name_en"":""Cerema"",""name_fr"":""Cerema"",""id"":""618828fe32132fc0e1c3b675""}]","[""""]","[""""]",[],true,,true,Qualité de l'air et Bruit,,Transports,Non renseigné,,"[""2017 à 2022""]",,2017
ORHANE,"[""""]",false,"[""Portail""]",Acoucité,"[""email""]",Environnement,"[""csv""]",dataset,Localisation des zones de co-exposition Air / Bruit,true,"[""""]","[""phénols"",""organochlorés"",""organophosphorés"",""autres composés organiques"",""métauxndvi"",""...""]","[""bruit"",""air""]","[""""]",maille 10mx10m,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",http://www.orhane.fr/,true,ORHANE,Agents Physiques,"[{""name_en"":""Acoucité"",""name_fr"":""Acoucité"",""id"":""618828fd32132fc0e1c3b64f""},{""name_en"":""ATMO France"",""name_fr"":""ATMO France"",""id"":""618828fd32132fc0e1c3b650""}]","[""""]","[""""]",[],true,,true,Qualité de l'air et acoustique,,Environnement,Tous les 5 ans,,"[""2014 - en cours""]",,2014
,"[""France métropolitaine et DROM""]",true,"[""Portail""]",SSP ministère de l'Agriculture,"[""email""]",Environnement,"[""csv""]",dataset,,true,"[""Sols""]","[""""]","[""pesticides"",""biocides"",""ndvi""]","[""FRA""]",France entière|  métropole ou DOM,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://agreste.agriculture.gouv.fr/agreste-web/disaron/ESEA16_3/detail/,true,"Orientation, taille, statut et mode de faire-valoir des exploitations",Indicateurs géographiques et socio-démographiques,"[{""name_en"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""name_fr"":""SSP  /  Ministère de l'Agriculture et de l’Alimentation"",""id"":""618828fd32132fc0e1c3b673""}]","[""""]","[""""]",[],true,,true,Milieux agricoles,N/A,"Agriculture, pêche, sylviculture et alimentation",Irrégulière,"7,2Mo","[""2016""]",,2016
,"[""France métropolitaine et DROM""]",true,"[""Portail""]",MTES,"[""email""]",Environnement,"[""mapinfo tab file"",""e00"",""esri shape""]",dataset,Des informations sur la contamination des eaux souterraines par les pesticides sont régulièrement diffusées.Elles s'appuient sur l'exploitation des données provenant du réseau de surveillance des nappes souterrainesqui comprend près de 2 200 stations de mesures réparties sur le territoire français (métropole et outremer).,true,"[""Eau""]","[""phénols"",""organochlorés"",""organophosphorés"",""autres composés organiques"",""métauxndvi"",""...""]","[""pesticides"",""biocides"",""ndvi""]","[""FRA""]",Station (coordonnées x/y|  numéro INSEE),true,true,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",,true,Pesticides dans les eaux souterraines,Pesticides,"[{""name_en"":""MTES"",""name_fr"":""MTES"",""id"":""618828fd32132fc0e1c3b668""}]","[""https://www.data.gouv.fr/fr/datasets/pesticides-dans-les-eaux-souterraines/#_""]","[""""]",[],false,,true,Pollution des eaux souterraines,Annuelle,Environnement,Annuelle,1-45 Mo,"[""2007 - 2012""]",,2007
plaMADE,"[""France métropolitaine et DROM-COM + étranger""]",false,"[""Portail""]",Steve Darry -Cerema,"[""email""]",Environnement,"[""csv"",""pdf""]",dataset,Données de traffic recueillies auprès des gestionnaires d'infrastructures autoroutières,true,"[""""]","[""""]","[""bruit""]","[""FRA+SPM+BLM+WLF+PYF+NCL""]",,false,false,false,false,true,true,false,true,,Non renseigné,"[""""]",,true,plaMADE,Agents Physiques,"[{""name_en"":""Cerema"",""name_fr"":""Cerema"",""id"":""618828fe32132fc0e1c3b675""}]","[""""]","[""""]",[],true,,true,Trafic routier,,Transports,Non renseigné,,"[""""]",,
PEB,"[""France métropolitaine""]",true,"[""Portail""]",,"[""email""]",Environnement,"[""mdb"",""xml"",""csv""]",dataset,Le PEB est un document graphique à l’échelle du 1/25000ème qui délimite quatre zones de gêne quantifiée par l’indice Level day evening night (Lden).,true,"[""""]","[""""]","[""bruit""]","[""FXX""]",1/ 25000,false,false,false,false,false,true,true,true,,Non renseigné,"[""""]",https://www.geoportail.gouv.fr/donnees/plan-dexposition-au-bruit-peb,true,Plan d’exposition au bruit,Agents Physiques,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""""]","[""""]",[],true,,true,Bruit,N/A,Transports,Irrégulière,/,"[""""]",,
PGS,"[""France métropolitaine""]",true,"[""Process""]",,"[""email""]",Environnement,"[""html""]",dataset,Visualisation des plans de gêne sonore (PGS) aux abords des aéroports. Les plans de gêne sonore délimitent des zones dans lesquelles les riverains peuvent bénéficier d’une aide à l’insonorisation de leur logement,true,"[""""]","[""""]","[""bruit""]","[""FXX""]",,false,false,true,false,false,true,true,true,,Non renseigné,"[""""]",https://www.geoportail.gouv.fr/donnees/plan-de-gene-sonore-pgs,true,Plan de gêne sonore,Agents Physiques,"[{""name_en"":""MTES"",""name_fr"":""MTES"",""id"":""618828fd32132fc0e1c3b668""}]","[""""]","[""""]",[],true,,true,Bruit,N/A,Transports,Irrégulière,/,"[""""]",,
,,false,[],,"[""email""]",Référentiel,,dataset,,false,"[""""]",[],"[""""]",,,false,false,false,false,false,false,false,false,,,"[""""]",,false,Plan IGN,,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""""]","[""""]",[],false,,true,,,,,,"[""""]",,
